Timestamp(ms),Current(uA),D0-D7
0,223.160,00000000
0.01,220.094,00000000
0.02,213.967,00000000
0.03,213.092,00000000
0.04,207.847,00000000
0.05,208.721,00000000
0.06,202.607,00000000
0.07,205.226,00000000
0.08,199.116,00000000
0.09,195.628,00000000
0.1,200.425,00000000
0.11,192.142,00000000
0.12,185.176,00000000
0.13,191.270,00000000
0.14,312.838,00000000
0.15,412.134,00000000
0.16,420.752,00000000
0.17,408.963,00000000
0.18,391.323,00000000
0.19,400.362,00000000
0.2,399.458,00000000
0.21,393.581,00000000
0.22,385.455,00000000
0.23,385.906,00000000
0.24,380.495,00000000
0.25,374.188,00000000
0.26,372.837,00000000
0.27,375.989,00000000
0.28,362.044,00000000
0.29,361.146,00000000
0.3,351.271,00000000
0.31,345.445,00000000
0.32,344.101,00000000
0.33,342.310,00000000
0.34,344.549,00000000
0.35,346.341,00000000
0.36,340.519,00000000
0.37,336.045,00000000
0.38,328.001,00000000
0.39,316.848,00000000
0.4,316.402,00000000
0.41,313.283,00000000
0.42,318.631,00000000
0.43,297.716,00000000
0.44,302.604,00000000
0.45,301.270,00000000
0.46,300.381,00000000
0.47,299.493,00000000
0.48,296.383,00000000
0.49,299.937,00000000
0.5,368.787,00000000
0.51,368.787,00000000
0.52,1018.012,00000000
0.53,1518.794,00000000
0.54,1865.917,00000000
0.55,3120.197,00000000
0.56,2818.374,00000000
0.57,2608.099,00000000
0.58,2421.207,00000000
0.59,2138.258,00000000
0.6,1931.880,00000000
0.61,1783.333,00000000
0.62,1622.389,00000000
0.63,1444.913,00000000
0.64,1285.534,00000000
0.65,1234.003,00000000
0.66,1216.843,00000000
0.67,1139.732,00000000
0.68,875.470,00000000
0.69,905.201,00000000
0.7,761.039,00000000
0.71,744.120,00000000
0.72,630.143,00000000
0.73,617.503,00000000
0.74,550.174,00000000
0.75,524.961,00000000
0.76,697.698,00000000
0.77,592.224,00000000
0.78,505.581,00000000
0.79,105.729,00000000
0.8,101.874,00000000
0.81,90.754,00000000
0.82,231.053,00000000
0.83,309.721,00000000
0.84,312.392,00000000
0.85,297.272,00000000
0.86,285.736,00000000
0.87,274.667,00000000
0.88,274.667,00000000
0.89,261.855,00000000
0.9,255.240,00000000
0.91,256.562,00000000
0.92,251.715,00000000
0.93,238.957,00000000
0.94,243.793,00000000
0.95,242.913,00000000
0.96,238.957,00000000
0.97,242.473,00000000
0.98,239.836,00000000
0.99,241.594,00000000
1,238.078,00000000
1.01,228.421,00000000
1.02,227.544,00000000
1.03,228.859,00000000
1.04,230.175,00000000
1.05,227.544,00000000
1.06,216.155,00000000
1.07,220.970,00000000
1.08,213.092,00000000
1.09,215.717,00000000
1.1,211.343,00000000
1.11,213.530,00000000
1.12,210.469,00000000
1.13,206.536,00000000
1.14,205.663,00000000
1.15,200.861,00000000
1.16,198.680,00000000
1.17,197.372,00000000
1.18,381.396,00000000
1.19,420.752,00000000
1.2,419.391,00000000
1.21,418.029,00000000
1.22,411.228,00000000
1.23,403.529,00000000
1.24,403.982,00000000
1.25,403.529,00000000
1.26,402.624,00000000
1.27,391.323,00000000
1.28,381.847,00000000
1.29,376.440,00000000
1.3,375.989,00000000
1.31,364.291,00000000
1.32,368.338,00000000
1.33,365.640,00000000
1.34,361.595,00000000
1.35,356.206,00000000
1.36,353.514,00000000
1.37,351.271,00000000
1.38,343.653,00000000
1.39,346.789,00000000
1.4,337.387,00000000
1.41,326.661,00000000
1.42,320.414,00000000
1.43,303.937,00000000
1.44,315.511,00000000
1.45,313.283,00000000
1.46,310.166,00000000
1.47,312.392,00000000
1.48,306.606,00000000
1.49,302.159,00000000
1.5,296.827,00000000
1.51,299.493,00000000
1.52,298.160,00000000
1.53,295.939,00000000
1.54,491.537,00000000
1.55,1061.017,00000000
1.56,1577.300,00000000
1.57,1950.117,00000000
1.58,3287.917,00000000
1.59,2939.711,00000000
1.6,2742.179,00000000
1.61,2447.848,00000000
1.62,2204.375,00000000
1.63,1975.690,00000000
1.64,1761.540,00000000
1.65,1661.469,00000000
1.66,1544.361,00000000
1.67,1375.902,00000000
1.68,1195.406,00000000
1.69,1156.853,00000000
1.7,1041.456,00000000
1.71,883.962,00000000
1.72,879.716,00000000
1.73,845.765,00000000
1.74,799.139,00000000
1.75,663.873,00000000
1.76,621.716,00000000
1.77,566.993,00000000
1.78,533.363,00000000
1.79,512.362,00000000
1.8,503.965,00000000
1.81,621.186,00000000
1.82,529.098,00000000
1.83,452.737,00000000
1.84,100.590,00000000
1.85,99.306,00000000
1.86,279.978,00000000
1.87,313.729,00000000
1.88,311.502,00000000
1.89,296.827,00000000
1.9,281.306,00000000
1.91,272.898,00000000
1.92,268.037,00000000
1.93,249.954,00000000
1.94,255.681,00000000
1.95,250.394,00000000
1.96,250.394,00000000
1.97,249.073,00000000
1.98,243.793,00000000
1.99,243.793,00000000
2,234.125,00000000
2.01,232.369,00000000
2.02,231.930,00000000
2.03,232.808,00000000
2.04,227.982,00000000
2.05,223.599,00000000
2.06,218.343,00000000
2.07,223.160,00000000
2.08,221.846,00000000
2.09,219.219,00000000
2.1,216.592,00000000
2.11,210.906,00000000
2.12,212.218,00000000
2.13,208.284,00000000
2.14,202.607,00000000
2.15,199.989,00000000
2.16,197.372,00000000
2.17,197.372,00000000
2.18,183.436,00000000
2.19,190.835,00000000
2.2,193.013,00000000
2.21,193.013,00000000
2.22,389.517,00000000
2.23,425.748,00000000
2.24,428.474,00000000
2.25,423.022,00000000
2.26,408.510,00000000
2.27,407.151,00000000
2.28,392.678,00000000
2.29,386.809,00000000
2.3,379.143,00000000
2.31,373.738,00000000
2.32,369.687,00000000
2.33,366.089,00000000
2.34,366.539,00000000
2.35,362.493,00000000
2.36,361.146,00000000
2.37,361.595,00000000
2.38,358.900,00000000
2.39,357.104,00000000
2.4,356.655,00000000
2.41,344.997,00000000
2.42,339.624,00000000
2.43,327.108,00000000
2.44,330.234,00000000
2.45,331.128,00000000
2.46,322.645,00000000
2.47,319.076,00000000
2.48,315.065,00000000
2.49,315.511,00000000
2.5,315.065,00000000
2.51,314.174,00000000
2.52,310.166,00000000
2.53,300.826,00000000
2.54,295.051,00000000
2.55,287.066,00000000
2.56,287.066,00000000
2.57,1030.192,00000000
2.58,1563.672,00000000
2.59,1928.220,00000000
2.6,3260.669,00000000
2.61,2957.721,00000000
2.62,2652.738,00000000
2.63,2403.458,00000000
2.64,2195.552,00000000
2.65,1966.924,00000000
2.66,1778.973,00000000
2.67,1678.852,00000000
2.68,1423.332,00000000
2.69,1354.364,00000000
2.7,1289.832,00000000
2.71,1173.982,00000000
2.72,1075.606,00000000
2.73,986.036,00000000
2.74,879.716,00000000
2.75,794.903,00000000
2.76,761.039,00000000
2.77,739.892,00000000
2.78,701.860,00000000
2.79,642.787,00000000
2.8,604.868,00000000
2.81,746.401,00000000
2.82,633.552,00000000
2.83,539.701,00000000
2.84,101.874,00000000
2.85,101.446,00000000
2.86,96.739,00000000
2.87,89.045,00000000
2.88,89.472,00000000
2.89,82.216,00000000
2.9,266.270,00000000
2.91,296.827,00000000
2.92,293.720,00000000
2.93,279.535,00000000
2.94,280.420,00000000
2.95,278.650,00000000
2.96,272.898,00000000
2.97,260.532,00000000
2.98,263.621,00000000
2.99,258.326,00000000
3,248.633,00000000
3.01,243.353,00000000
3.02,246.872,00000000
3.03,241.154,00000000
3.04,243.353,00000000
3.05,236.760,00000000
3.06,232.369,00000000
3.07,238.957,00000000
3.08,241.154,00000000
3.09,227.544,00000000
3.1,224.037,00000000
3.11,220.094,00000000
3.12,219.656,00000000
3.13,218.781,00000000
3.14,220.532,00000000
3.15,211.343,00000000
3.16,211.343,00000000
3.17,211.343,00000000
3.18,199.552,00000000
3.19,208.721,00000000
3.2,206.100,00000000
3.21,208.284,00000000
3.22,205.226,00000000
3.23,205.663,00000000
3.24,201.734,00000000
3.25,289.283,00000000
3.26,412.134,00000000
3.27,423.931,00000000
3.28,419.391,00000000
3.29,415.308,00000000
3.3,407.604,00000000
3.31,396.745,00000000
3.32,405.340,00000000
3.33,401.267,00000000
3.34,399.910,00000000
3.35,390.871,00000000
3.36,387.260,00000000
3.37,382.749,00000000
3.38,380.044,00000000
3.39,379.143,00000000
3.4,369.687,00000000
3.41,359.349,00000000
3.42,352.617,00000000
3.43,336.940,00000000
3.44,345.445,00000000
3.45,342.310,00000000
3.46,339.624,00000000
3.47,336.045,00000000
3.48,335.598,00000000
3.49,342.758,00000000
3.5,333.810,00000000
3.51,326.661,00000000
3.52,321.752,00000000
3.53,315.511,00000000
3.54,314.174,00000000
3.55,308.831,00000000
3.56,295.051,00000000
3.57,300.381,00000000
3.58,294.607,00000000
3.59,290.170,00000000
3.6,445.772,00000000
3.61,1077.084,00000000
3.62,1626.315,00000000
3.63,2008.493,00000000
3.64,3460.944,00000000
3.65,3133.768,00000000
3.66,2890.230,00000000
3.67,2581.342,00000000
3.68,2217.613,00000000
3.69,2041.507,00000000
3.7,1826.958,00000000
3.71,1713.644,00000000
3.72,1613.711,00000000
3.73,1466.508,00000000
3.74,1315.630,00000000
3.75,1156.853,00000000
3.76,1041.456,00000000
3.77,1003.078,00000000
3.78,934.960,00000000
3.79,833.042,00000000
3.8,799.139,00000000
3.81,706.084,00000000
3.82,722.983,00000000
3.83,668.091,00000000
3.84,575.406,00000000
3.85,575.406,00000000
3.86,712.654,00000000
