Timestamp(ms),Current(uA),D0-D7
0,215.280,00000000
0.01,210.469,00000000
0.02,210.906,00000000
0.03,203.916,00000000
0.04,205.226,00000000
0.05,210.469,00000000
0.06,194.756,00000000
0.07,201.734,00000000
0.08,199.989,00000000
0.09,197.372,00000000
0.1,184.741,00000000
0.11,183.436,00000000
0.12,181.262,00000000
0.13,180.393,00000000
0.14,180.393,00000000
0.15,178.220,00000000
0.16,172.575,00000000
0.17,177.351,00000000
0.18,167.803,00000000
0.19,176.917,00000000
0.2,180.393,00000000
0.21,175.179,00000000
0.22,164.768,00000000
0.23,165.202,00000000
0.24,163.035,00000000
0.25,347.237,00000000
0.26,393.581,00000000
0.27,393.130,00000000
0.28,385.906,00000000
0.29,381.396,00000000
0.3,377.791,00000000
0.31,364.291,00000000
0.32,367.888,00000000
0.33,363.392,00000000
0.34,363.842,00000000
0.35,363.392,00000000
0.36,354.860,00000000
0.37,353.065,00000000
0.38,341.862,00000000
0.39,335.598,00000000
0.4,332.469,00000000
0.41,332.022,00000000
0.42,328.001,00000000
0.43,316.402,00000000
0.44,316.402,00000000
0.45,315.511,00000000
0.46,309.721,00000000
0.47,310.611,00000000
0.48,307.941,00000000
0.49,305.716,00000000
0.5,302.604,00000000
0.51,303.493,00000000
0.52,298.160,00000000
0.53,284.850,00000000
0.54,286.623,00000000
0.55,283.521,00000000
0.56,277.322,00000000
0.57,277.764,00000000
0.58,279.535,00000000
0.59,275.552,00000000
0.6,277.764,00000000
0.61,270.246,00000000
0.62,267.153,00000000
0.63,264.945,00000000
0.64,260.973,00000000
0.65,256.122,00000000
0.66,254.359,00000000
0.67,251.715,00000000
0.68,242.913,00000000
0.69,242.913,00000000
0.7,244.232,00000000
0.71,237.199,00000000
0.72,241.154,00000000
0.73,230.175,00000000
0.74,227.982,00000000
0.75,224.475,00000000
0.76,225.352,00000000
0.77,221.408,00000000
0.78,219.656,00000000
0.79,216.592,00000000
0.8,218.781,00000000
0.81,234.125,00000000
0.82,424.839,00000000
0.83,443.948,00000000
0.84,442.581,00000000
0.85,445.772,00000000
0.86,440.304,00000000
0.87,435.296,00000000
0.88,428.474,00000000
0.89,424.839,00000000
0.9,410.775,00000000
0.91,406.698,00000000
0.92,403.529,00000000
0.93,392.226,00000000
0.94,392.678,00000000
0.95,391.323,00000000
0.96,387.260,00000000
0.97,382.298,00000000
0.98,377.340,00000000
0.99,377.791,00000000
1,376.890,00000000
1.01,370.137,00000000
1.02,367.888,00000000
1.03,364.740,00000000
1.04,360.696,00000000
1.05,348.581,00000000
1.06,342.310,00000000
1.07,338.729,00000000
1.08,333.363,00000000
1.09,331.575,00000000
1.1,331.128,00000000
1.11,328.448,00000000
1.12,322.198,00000000
1.13,321.306,00000000
1.14,322.645,00000000
1.15,317.739,00000000
1.16,314.174,00000000
1.17,312.392,00000000
1.18,299.048,00000000
1.19,295.051,00000000
1.2,293.276,00000000
1.21,288.396,00000000
1.22,289.726,00000000
1.23,287.509,00000000
1.24,283.521,00000000
1.25,283.078,00000000
1.26,278.650,00000000
1.27,278.207,00000000
1.28,275.552,00000000
1.29,274.667,00000000
1.3,272.014,00000000
1.31,264.504,00000000
1.32,268.920,00000000
1.33,468.610,00000000
1.34,1017.284,00000000
1.35,1530.638,00000000
1.36,1887.958,00000000
1.37,3224.368,00000000
1.38,2912.713,00000000
1.39,2661.673,00000000
1.4,2430.085,00000000
1.41,2173.505,00000000
1.42,1905.621,00000000
1.43,1717.996,00000000
1.44,1735.407,00000000
1.45,1488.116,00000000
1.46,1337.143,00000000
1.47,1229.712,00000000
1.48,1118.343,00000000
1.49,1054.258,00000000
1.5,994.556,00000000
1.51,888.209,00000000
1.52,845.765,00000000
1.53,807.611,00000000
1.54,714.532,00000000
1.55,588.029,00000000
1.56,588.029,00000000
1.57,777.609,00000000
1.58,658.833,00000000
1.59,560.278,00000000
1.6,106.586,00000000
1.61,101.018,00000000
1.62,98.450,00000000
1.63,95.456,00000000
1.64,93.318,00000000
1.65,86.910,00000000
1.66,85.202,00000000
1.67,81.789,00000000
1.68,74.544,00000000
1.69,78.804,00000000
1.7,71.989,00000000
1.71,67.734,00000000
1.72,66.883,00000000
1.73,66.883,00000000
1.74,62.207,00000000
1.75,60.933,00000000
1.76,60.508,00000000
1.77,59.659,00000000
1.78,62.632,00000000
1.79,259.649,00000000
1.8,290.170,00000000
1.81,281.749,00000000
1.82,281.306,00000000
1.83,281.306,00000000
1.84,271.572,00000000
1.85,267.595,00000000
1.86,259.208,00000000
1.87,258.767,00000000
1.88,255.240,00000000
1.89,253.477,00000000
1.9,249.954,00000000
1.91,245.112,00000000
1.92,242.913,00000000
1.93,230.614,00000000
1.94,237.639,00000000
1.95,236.321,00000000
1.96,232.808,00000000
1.97,231.053,00000000
1.98,228.859,00000000
1.99,225.790,00000000
2,224.913,00000000
2.01,224.037,00000000
2.02,221.846,00000000
2.03,216.592,00000000
2.04,213.092,00000000
2.05,209.158,00000000
2.06,199.116,00000000
2.07,202.170,00000000
2.08,201.734,00000000
2.09,197.808,00000000
2.1,196.500,00000000
2.11,192.577,00000000
2.12,190.399,00000000
2.13,189.964,00000000
2.14,191.706,00000000
2.15,194.756,00000000
2.16,189.964,00000000
2.17,190.399,00000000
2.18,178.654,00000000
2.19,188.658,00000000
2.2,180.393,00000000
2.21,181.262,00000000
2.22,181.262,00000000
2.23,167.803,00000000
2.24,167.803,00000000
2.25,167.369,00000000
2.26,168.236,00000000
2.27,164.768,00000000
2.28,164.768,00000000
2.29,165.635,00000000
2.3,253.918,00000000
2.31,375.539,00000000
2.32,396.745,00000000
2.33,388.163,00000000
2.34,378.242,00000000
2.35,374.638,00000000
2.36,374.188,00000000
2.37,369.687,00000000
2.38,362.943,00000000
2.39,359.349,00000000
2.4,355.758,00000000
2.41,358.002,00000000
2.42,347.685,00000000
2.43,338.729,00000000
2.44,338.729,00000000
2.45,341.415,00000000
2.46,337.834,00000000
2.47,336.493,00000000
2.48,327.554,00000000
2.49,322.645,00000000
2.5,315.956,00000000
2.51,308.831,00000000
2.52,306.161,00000000
2.53,303.493,00000000
2.54,305.272,00000000
2.55,303.493,00000000
2.56,292.388,00000000
2.57,299.937,00000000
2.58,297.716,00000000
2.59,293.720,00000000
2.6,291.057,00000000
2.61,280.863,00000000
2.62,273.341,00000000
2.63,275.110,00000000
2.64,273.341,00000000
2.65,271.130,00000000
2.66,267.153,00000000
2.67,269.362,00000000
2.68,257.885,00000000
2.69,264.062,00000000
2.7,262.738,00000000
2.71,257.003,00000000
2.72,259.649,00000000
2.73,251.275,00000000
2.74,247.312,00000000
2.75,238.078,00000000
2.76,238.078,00000000
2.77,234.125,00000000
2.78,231.053,00000000
2.79,231.053,00000000
2.8,227.544,00000000
2.81,219.219,00000000
2.82,380.495,00000000
2.83,454.440,00000000
2.84,461.292,00000000
2.85,459.921,00000000
2.86,453.070,00000000
2.87,447.595,00000000
2.88,432.111,00000000
2.89,429.838,00000000
2.9,419.391,00000000
2.91,419.845,00000000
2.92,413.494,00000000
2.93,404.434,00000000
2.94,405.340,00000000
2.95,402.624,00000000
2.96,399.005,00000000
2.97,396.293,00000000
2.98,389.517,00000000
2.99,388.614,00000000
3,380.044,00000000
3.01,376.890,00000000
3.02,368.787,00000000
3.03,366.539,00000000
3.04,365.640,00000000
3.05,360.247,00000000
3.06,346.789,00000000
3.07,359.349,00000000
3.08,358.451,00000000
3.09,355.758,00000000
3.1,351.720,00000000
3.11,346.341,00000000
3.12,342.310,00000000
3.13,329.788,00000000
3.14,328.001,00000000
3.15,324.429,00000000
3.16,320.860,00000000
3.17,316.848,00000000
3.18,304.827,00000000
3.19,310.611,00000000
3.2,313.729,00000000
3.21,307.941,00000000
3.22,303.048,00000000
3.23,299.048,00000000
3.24,295.939,00000000
3.25,291.501,00000000
3.26,285.736,00000000
3.27,283.078,00000000
3.28,284.407,00000000
3.29,280.863,00000000
3.3,276.437,00000000
3.31,264.062,00000000
3.32,264.945,00000000
3.33,260.973,00000000
3.34,259.208,00000000
3.35,254.799,00000000
3.36,249.073,00000000
3.37,356.206,00000000
3.38,479.604,00000000
3.39,489.699,00000000
3.4,488.781,00000000
3.41,481.438,00000000
3.42,475.937,00000000
