Timestamp(ms),Current(uA),D0-D7
189.75,9.731,00000000
189.76,9.687,00000000
189.77,9.993,00000000
189.78,10.081,00000000
189.79,10.081,00000000
189.8,10.344,00000000
189.81,10.344,00000000
189.82,10.431,00000000
189.83,10.431,00000000
189.84,10.431,00000000
189.85,10.606,00000000
189.86,10.431,00000000
189.87,10.694,00000000
189.88,10.606,00000000
189.89,10.606,00000000
189.9,10.782,00000000
189.91,10.694,00000000
189.92,10.913,00000000
189.93,10.738,00000000
189.94,10.913,00000000
189.95,10.913,00000000
189.96,11.176,00000000
189.97,11.176,00000000
189.98,11.176,00000000
189.99,11.307,00000000
190,11.351,00000000
190.01,11.394,00000000
190.02,11.438,00000000
190.03,11.570,00000000
190.04,11.613,00000000
190.05,11.570,00000000
190.06,11.789,00000000
190.07,11.745,00000000
190.08,11.832,00000000
190.09,11.745,00000000
190.1,12.007,00000000
190.11,12.007,00000000
190.12,11.920,00000000
190.13,12.051,00000000
190.14,12.139,00000000
190.15,12.183,00000000
190.16,12.139,00000000
190.17,12.270,00000000
190.18,12.183,00000000
190.19,12.445,00000000
190.2,12.445,00000000
190.21,12.358,00000000
190.22,12.708,00000000
190.23,12.664,00000000
190.24,12.796,00000000
190.25,12.752,00000000
190.26,12.927,00000000
190.27,13.058,00000000
190.28,13.102,00000000
190.29,13.102,00000000
190.3,13.102,00000000
190.31,13.102,00000000
190.32,13.190,00000000
190.33,13.321,00000000
190.34,13.452,00000000
190.35,13.496,00000000
190.36,13.496,00000000
190.37,13.540,00000000
190.38,13.627,00000000
190.39,13.496,00000000
190.4,13.496,00000000
190.41,13.627,00000000
190.42,13.803,00000000
190.43,13.627,00000000
190.44,13.759,00000000
190.45,13.846,00000000
190.46,13.934,00000000
190.47,14.065,00000000
190.48,14.197,00000000
190.49,14.372,00000000
190.5,14.284,00000000
190.51,14.372,00000000
190.52,20.720,00000000
190.53,37.139,00000000
190.54,39.109,00000000
190.55,39.328,00000000
190.56,39.416,00000000
190.57,39.328,00000000
190.58,39.153,00000000
190.59,39.197,00000000
190.6,39.328,00000000
190.61,39.109,00000000
190.62,39.372,00000000
190.63,39.153,00000000
190.64,39.503,00000000
190.65,39.547,00000000
190.66,39.635,00000000
190.67,39.679,00000000
190.68,39.635,00000000
190.69,39.416,00000000
190.7,39.460,00000000
190.71,39.591,00000000
190.72,39.635,00000000
190.73,39.547,00000000
190.74,39.460,00000000
190.75,39.284,00000000
190.76,39.284,00000000
190.77,39.284,00000000
190.78,39.328,00000000
190.79,39.284,00000000
190.8,39.241,00000000
190.81,39.328,00000000
190.82,39.416,00000000
190.83,39.591,00000000
190.84,39.679,00000000
190.85,39.722,00000000
190.86,39.766,00000000
190.87,39.766,00000000
190.88,39.635,00000000
190.89,39.722,00000000
190.9,39.766,00000000
190.91,39.722,00000000
190.92,39.635,00000000
190.93,39.766,00000000
190.94,39.810,00000000
190.95,39.810,00000000
190.96,39.941,00000000
190.97,39.897,00000000
190.98,40.029,00000000
190.99,40.029,00000000
191,40.029,00000000
191.01,40.073,00000000
191.02,40.160,00000000
191.03,40.291,00000000
191.04,40.291,00000000
191.05,40.467,00000000
191.06,40.423,00000000
191.07,40.379,00000000
191.08,40.335,00000000
191.09,40.204,00000000
191.1,40.160,00000000
191.11,40.116,00000000
191.12,40.073,00000000
191.13,40.204,00000000
191.14,39.897,00000000
191.15,39.897,00000000
191.16,39.897,00000000
191.17,39.854,00000000
191.18,40.029,00000000
191.19,39.722,00000000
191.2,39.722,00000000
191.21,39.679,00000000
191.22,39.722,00000000
191.23,40.029,00000000
191.24,39.941,00000000
191.25,39.985,00000000
191.26,39.941,00000000
191.27,39.766,00000000
191.28,39.766,00000000
191.29,39.591,00000000
191.3,39.328,00000000
191.31,39.635,00000000
191.32,39.503,00000000
191.33,39.679,00000000
191.34,39.679,00000000
191.35,921.658,00000000
191.36,1585.449,00000000
191.37,2054.882,00000000
191.38,3749.527,00000000
191.39,3360.675,00000000
191.4,3043.384,00000000
191.41,2791.464,00000000
191.42,2567.970,00000000
191.43,2305.991,00000000
191.44,2111.845,00000000
191.45,1927.503,00000000
191.46,1744.116,00000000
191.47,1609.372,00000000
191.48,1505.412,00000000
191.49,1384.521,00000000
191.5,1272.644,00000000
191.51,1169.699,00000000
191.52,1088.422,00000000
191.53,986.036,00000000
191.54,951.976,00000000
191.55,892.456,00000000
191.56,841.523,00000000
191.57,744.120,00000000
191.58,701.860,00000000
191.59,672.311,00000000
191.6,630.143,00000000
191.61,566.993,00000000
191.62,499.767,00000000
191.63,664.986,00000000
191.64,564.088,00000000
191.65,481.044,00000000
191.66,100.162,00000000
191.67,94.600,00000000
191.68,92.035,00000000
191.69,87.764,00000000
191.7,83.922,00000000
191.71,81.363,00000000
191.72,77.526,00000000
191.73,74.544,00000000
191.74,73.692,00000000
191.75,69.010,00000000
191.76,66.458,00000000
191.77,64.332,00000000
191.78,62.632,00000000
191.79,62.207,00000000
191.8,59.659,00000000
191.81,58.385,00000000
191.82,59.234,00000000
191.83,57.960,00000000
191.84,57.960,00000000
191.85,56.687,00000000
191.86,57.536,00000000
191.87,54.990,00000000
191.88,54.565,00000000
191.89,53.293,00000000
191.9,52.445,00000000
191.91,50.749,00000000
191.92,50.749,00000000
191.93,49.901,00000000
191.94,50.325,00000000
191.95,49.477,00000000
191.96,49.053,00000000
191.97,47.782,00000000
191.98,48.206,00000000
191.99,46.935,00000000
192,48.206,00000000
192.01,48.206,00000000
192.02,48.206,00000000
192.03,47.782,00000000
192.04,49.053,00000000
192.05,49.053,00000000
192.06,52.869,00000000
192.07,251.275,00000000
192.08,274.225,00000000
192.09,270.688,00000000
192.1,268.037,00000000
192.11,259.649,00000000
192.12,255.681,00000000
192.13,250.394,00000000
192.14,246.872,00000000
192.15,243.793,00000000
192.16,242.913,00000000
192.17,243.353,00000000
192.18,242.034,00000000
192.19,239.836,00000000
192.2,239.396,00000000
192.21,238.957,00000000
192.22,238.078,00000000
192.23,234.564,00000000
192.24,231.053,00000000
192.25,229.298,00000000
192.26,227.982,00000000
192.27,226.228,00000000
192.28,223.160,00000000
192.29,220.094,00000000
192.3,216.155,00000000
192.31,210.906,00000000
192.32,206.100,00000000
192.33,204.353,00000000
192.34,202.607,00000000
192.35,203.916,00000000
192.36,203.480,00000000
192.37,203.916,00000000
192.38,202.607,00000000
192.39,199.989,00000000
192.4,199.116,00000000
192.41,199.552,00000000
192.42,195.628,00000000
192.43,193.013,00000000
192.44,188.658,00000000
192.45,184.741,00000000
192.46,184.306,00000000
192.47,185.176,00000000
192.48,183.871,00000000
192.49,181.262,00000000
192.5,179.958,00000000
192.51,178.654,00000000
192.52,173.877,00000000
192.53,172.141,00000000
192.54,171.273,00000000
192.55,168.670,00000000
192.56,166.502,00000000
