Timestamp(ms),Current(uA),D0-D7
0,8.023,00000000
0.01,7.936,00000000
0.02,7.585,00000000
0.03,7.585,00000000
0.04,7.498,00000000
0.05,7.191,00000000
0.06,7.104,00000000
0.07,7.016,00000000
0.08,6.841,00000000
0.09,6.753,00000000
0.1,6.359,00000000
0.11,6.447,00000000
0.12,6.272,00000000
0.13,6.184,00000000
0.14,6.053,00000000
0.15,5.834,00000000
0.16,5.746,00000000
0.17,5.615,00000000
0.18,5.615,00000000
0.19,5.484,00000000
0.2,5.396,00000000
0.21,5.352,00000000
0.22,5.046,00000000
0.23,5.090,00000000
0.24,4.958,00000000
0.25,4.958,00000000
0.26,4.783,00000000
0.27,4.739,00000000
0.28,4.652,00000000
0.29,4.520,00000000
0.3,4.433,00000000
0.31,4.433,00000000
0.32,4.433,00000000
0.33,4.389,00000000
0.34,4.433,00000000
0.35,4.345,00000000
0.36,4.126,00000000
0.37,4.083,00000000
0.38,4.039,00000000
0.39,3.908,00000000
0.4,3.908,00000000
0.41,3.908,00000000
0.42,3.864,00000000
0.43,3.732,00000000
0.44,3.776,00000000
0.45,3.776,00000000
0.46,3.820,00000000
0.47,3.776,00000000
0.48,3.776,00000000
0.49,3.908,00000000
0.5,3.689,00000000
0.51,3.820,00000000
0.52,3.820,00000000
0.53,3.732,00000000
0.54,3.601,00000000
0.55,3.820,00000000
0.56,3.776,00000000
0.57,3.645,00000000
0.58,3.601,00000000
0.59,3.689,00000000
0.6,3.645,00000000
0.61,3.601,00000000
0.62,3.951,00000000
0.63,3.776,00000000
0.64,3.732,00000000
0.65,3.776,00000000
0.66,3.645,00000000
0.67,3.864,00000000
0.68,3.732,00000000
0.69,3.557,00000000
0.7,3.645,00000000
0.71,3.689,00000000
0.72,3.513,00000000
0.73,3.513,00000000
0.74,3.645,00000000
0.75,3.426,00000000
0.76,3.513,00000000
0.77,3.513,00000000
0.78,3.338,00000000
0.79,3.382,00000000
0.8,3.382,00000000
0.81,3.426,00000000
0.82,3.557,00000000
0.83,3.557,00000000
0.84,3.513,00000000
0.85,3.645,00000000
0.86,3.601,00000000
0.87,3.645,00000000
0.88,3.645,00000000
0.89,3.601,00000000
0.9,3.645,00000000
0.91,3.689,00000000
0.92,3.689,00000000
0.93,3.732,00000000
0.94,3.689,00000000
0.95,3.732,00000000
0.96,3.776,00000000
0.97,3.864,00000000
0.98,3.908,00000000
0.99,3.645,00000000
1,3.645,00000000
1.01,3.645,00000000
1.02,3.557,00000000
1.03,3.601,00000000
1.04,3.557,00000000
1.05,3.601,00000000
1.06,3.557,00000000
1.07,3.601,00000000
1.08,3.689,00000000
1.09,3.382,00000000
1.1,3.601,00000000
1.11,3.513,00000000
1.12,3.557,00000000
1.13,3.645,00000000
1.14,3.557,00000000
1.15,3.601,00000000
1.16,3.557,00000000
1.17,3.513,00000000
1.18,3.470,00000000
1.19,3.382,00000000
1.2,3.338,00000000
1.21,3.426,00000000
1.22,3.470,00000000
1.23,3.601,00000000
1.24,3.557,00000000
1.25,3.557,00000000
1.26,3.689,00000000
1.27,3.776,00000000
1.28,3.732,00000000
1.29,3.776,00000000
1.3,3.908,00000000
1.31,3.820,00000000
1.32,3.776,00000000
1.33,3.689,00000000
1.34,3.689,00000000
1.35,3.732,00000000
1.36,3.645,00000000
1.37,3.601,00000000
1.38,3.557,00000000
1.39,3.689,00000000
1.4,3.776,00000000
1.41,3.820,00000000
1.42,3.776,00000000
1.43,3.820,00000000
1.44,3.732,00000000
1.45,3.732,00000000
1.46,3.689,00000000
1.47,3.645,00000000
1.48,3.645,00000000
1.49,3.689,00000000
1.5,3.601,00000000
1.51,3.513,00000000
1.52,3.689,00000000
1.53,3.732,00000000
1.54,3.776,00000000
1.55,3.732,00000000
1.56,3.557,00000000
1.57,3.601,00000000
1.58,3.426,00000000
1.59,3.426,00000000
1.6,3.513,00000000
1.61,3.382,00000000
1.62,3.470,00000000
1.63,3.470,00000000
1.64,3.470,00000000
1.65,3.645,00000000
1.66,3.776,00000000
1.67,3.732,00000000
1.68,3.995,00000000
1.69,3.908,00000000
1.7,3.995,00000000
1.71,3.864,00000000
1.72,3.732,00000000
1.73,3.776,00000000
1.74,3.732,00000000
1.75,3.689,00000000
1.76,3.601,00000000
1.77,3.645,00000000
1.78,3.557,00000000
1.79,3.732,00000000
1.8,3.732,00000000
1.81,3.689,00000000
1.82,3.601,00000000
1.83,3.689,00000000
1.84,3.601,00000000
1.85,3.557,00000000
1.86,3.601,00000000
1.87,3.557,00000000
1.88,3.470,00000000
1.89,3.470,00000000
1.9,3.513,00000000
1.91,3.689,00000000
1.92,3.601,00000000
1.93,3.470,00000000
1.94,3.513,00000000
1.95,3.513,00000000
1.96,3.601,00000000
1.97,3.601,00000000
1.98,3.689,00000000
1.99,3.557,00000000
2,3.645,00000000
2.01,3.689,00000000
2.02,3.557,00000000
2.03,3.557,00000000
2.04,3.645,00000000
2.05,3.601,00000000
2.06,3.601,00000000
2.07,3.513,00000000
2.08,3.601,00000000
2.09,3.557,00000000
2.1,3.513,00000000
2.11,3.689,00000000
2.12,3.557,00000000
2.13,3.382,00000000
2.14,3.295,00000000
2.15,3.470,00000000
2.16,3.426,00000000
2.17,3.513,00000000
2.18,3.601,00000000
2.19,3.251,00000000
2.2,3.338,00000000
2.21,3.382,00000000
2.22,3.426,00000000
2.23,3.513,00000000
2.24,3.426,00000000
2.25,3.470,00000000
2.26,3.426,00000000
2.27,3.601,00000000
2.28,3.470,00000000
2.29,3.601,00000000
2.3,3.557,00000000
2.31,3.645,00000000
2.32,3.689,00000000
2.33,3.776,00000000
2.34,3.689,00000000
2.35,3.645,00000000
2.36,3.732,00000000
2.37,3.689,00000000
2.38,3.776,00000000
2.39,3.732,00000000
2.4,3.776,00000000
2.41,3.732,00000000
2.42,3.864,00000000
2.43,3.951,00000000
2.44,3.864,00000000
2.45,3.776,00000000
2.46,3.645,00000000
2.47,3.776,00000000
2.48,3.776,00000000
2.49,3.645,00000000
2.5,3.776,00000000
2.51,3.645,00000000
2.52,3.601,00000000
2.53,3.557,00000000
2.54,3.557,00000000
