sample_index,time_us,current_ua,digital_bits
0,3479.4998355209827,660.4659908322575,128
100,3631.6998302936554,275.2241446785454,128
200,3740.2999587357044,795.7320488906493,128
300,3853.2998878508806,2276.0484190848447,128
400,3970.2998474240303,1801.731911796956,128
500,4088.799934834242,363.51370753865916,128
600,15509.199816733599,421.78639432209394,128
700,15617.999946698546,246.98451153725668,128
800,15728.899976238608,276.99396232759113,128
900,15836.199978366494,622.5224032334571,128
1000,15945.499995723367,320.53238596024875,128
1100,16053.400002419949,711.1257276577333,128
1200,16160.399885848165,2311.4344436397387,128
1300,16267.400002107024,2046.8847137815071,128
1400,16374.199884012341,374.7605936638775,128
1500,16480.89988157153,431.32870381997276,128
1600,19482.199801132083,249.1854829851478,128
1700,19649.700028821826,430.8739522047656,128
1800,19763.2999625057,251.82782327456277,128
1900,19872.199976816773,292.9479477569076,128
2000,19983.100006356835,285.85159276878824,128
2100,23882.20001012087,447.723466561243,128
2200,23996.699834242463,261.5273668205766,128
2300,24107.499979436398,96.4107971876276,128
2400,24217.699887230992,1038.049390987136,128
2500,24327.399907633662,944.3147455143385,128
2600,27915.499871596694,3139.411564646524,128
2700,28144.899988546968,390.0920580548244,128
2800,28386.799851432443,462.7925211161977,128
2900,28625.299921259284,238.18952386649227,128
3000,28864.39999565482,481.11000681434257,128
3100,33918.39982941747,1636.346161521911,128
3200,34026.59995481372,357.67411809689617,128
3300,34132.79983215034,412.2597811093064,128
3400,34238.19993622601,244.34452035173297,128
3500,34343.29992160201,264.6171978586259,128
3600,37969.09982338548,588.8316229486067,128
3700,38084.39988642931,1571.27774098915,128
3800,38196.09992206097,1187.7132935950763,128
3900,38305.899826809764,4180.704904586411,128
4000,38417.99986548722,414.0731639577896,128
4100,43312.399880960584,226.7773241994524,128
4200,43425.999814644456,250.06612071168658,128
4300,43534.499825909734,113.54945984217532,128
4400,43660.89985705912,257.1163478415783,128
4500,43772.90001139045,650.2112832327218,128
4600,43881.299905478954,324.99430219022366,128
4700,48998.19986894727,230.28620759205884,128
4800,49109.899904578924,298.7204453678379,128
4900,49222.6998321712,761.8635064189145,128
5000,49327.5998160243,2422.2393280021065,128
5100,49430.70001900196,1718.9412132608586,128
5200,53490.599850192666,363.51370753865916,128
5300,53606.69991932809,423.60276693916586,128
5400,53718.09983626008,237.75014820402768,128
5500,53828.29997688532,269.0342675597683,128
5600,53938.69988620281,643.596754542811,128
5700,59372.29981645942,1727.6468103490026,128
5800,59481.69995099306,1363.878235609221,128
5900,59587.99994550645,1213.4243302058105,128
6000,59694.199822843075,409.08773143506426,128
6100,59797.999914735556,305.38849395576796,128
6200,63348.39994087815,1910.965118287479,128
6300,63455.49994148314,382.8721259650332,128
