=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,conv_status,read_status\n"
~"112,929,227,1,25936,-13952,-32528,145,0\n"
~"113,931,229,1,-2176,-5168,-32528,209,0\n"
~"114,933,231,1,-2080,-5312,-32528,17,0\n"
~"115,935,233,1,-2032,-5120,-32528,81,0\n"
~"116,937,235,1,-2304,-5280,-32528,177,0\n"
~"117,939,237,1,-2224,-5312,-32528,241,0\n"
~"118,941,239,1,-2080,-5280,-32528,49,0\n"
~"119,944,242,1,-2240,-5104,-32528,145,0\n"
~"120,946,244,1,-2144,-5248,-32528,209,0\n"
~"121,948,246,1,-2272,-5264,-32528,17,0\n"
~"122,950,248,1,-2224,-5264,-32528,81,0\n"
~"123,952,250,1,-2224,-5184,-32528,177,0\n"
~"124,954,252,1,-2160,-5248,-32528,17,0\n"
~"125,956,254,1,-2240,-5136,-32528,49,0\n"
~"126,958,256,1,-2128,-5184,-32528,113,0\n"
~"127,960,258,1,-2128,-5264,-32528,177,0\n"
~"128,962,260,1,-2144,-5152,-32528,241,0\n"
~"129,964,262,1,-2176,-4992,-32528,49,0\n"
~"130,966,264,1,2640,-7376,-32528,113,0\n"
~"131,968,266,1,11696,-11680,-32528,209,0\n"
~"132,970,268,1,19776,-19632,-32528,241,0\n"
~"133,972,270,1,20432,-21664,-32528,49,0\n"
~"134,974,272,1,15296,-24880,-32528,113,0\n"
~"135,976,274,1,10400,-27584,-32528,209,0\n"
~"136,978,276,1,6784,-28208,-32528,241,0\n"
~"137,980,278,1,6128,-28080,-32528,49,0\n"
~"138,982,280,1,816,-27568,-32528,113,0\n"
~"139,984,282,1,-4880,-17376,-32528,177,0\n"
~"140,986,284,1,-2944,-11648,-32528,241,0\n"
~"141,988,286,1,-2736,-11568,-32528,81,0\n"
~"142,990,288,1,-2864,-11584,-32528,177,0\n"
~"143,992,290,1,-2576,-11744,-32528,241,0\n"
~"144,994,292,1,-2784,-11664,-32528,49,0\n"
~"145,996,294,1,-2784,-11504,-32528,113,0\n"
~"146,998,296,1,-2720,-11616,-32528,177,0\n"
~"147,1000,298,1,-2720,-11744,-32528,241,0\n"
~"148,1002,300,1,-2752,-11584,-32528,49,0\n"
~"149,1004,302,1,-2656,-11680,-32528,113,0\n"
~"150,1006,304,1,-2640,-11632,-32528,177,0\n"
~"151,1008,306,1,-2640,-11664,-32528,17,0\n"
~"152,1010,308,1,-2832,-11648,-32528,81,0\n"
~"153,1012,310,1,-3520,-13264,-32528,145,0\n"
~"154,1014,312,1,-9744,-25168,-32528,209,0\n"
~"155,1016,314,1,-9648,-25200,-32528,17,0\n"
~"156,1018,316,1,-9664,-25392,-32528,145,0\n"
~"157,1020,318,1,-9728,-25536,-32528,177,0\n"
~"158,1022,320,1,-9616,-25552,-32528,241,0\n"
~"159,1024,322,1,-9712,-25360,-32528,81,0\n"
~"160,1026,324,1,-11456,-24656,-32528,177,0\n"
~"161,1028,326,1,-15792,-20352,-32528,209,0\n"
~"162,1030,328,1,-4576,-7984,-32528,17,0\n"
~"163,1032,330,1,-4640,-8096,-32528,81,0\n"
~"164,1034,332,1,-4512,-8080,-32528,145,0\n"
~"165,1036,334,1,-4416,-8160,-32528,209,0\n"
~"166,1038,336,1,-4512,-7872,-32528,17,0\n"
~"167,1040,338,1,-4528,-8048,-32528,113,0\n"
~"168,1042,340,1,-4448,-7984,-32528,177,0\n"
~"169,1045,343,1,-4528,-8128,-32528,17,0\n"
~"170,1047,345,1,-4368,-8032,-32528,81,0\n"
~"171,1049,347,1,-4384,-8080,-32528,145,0\n"
~"172,1051,349,1,-4352,-8176,-32528,241,0\n"
~"173,1053,351,1,-4448,-8112,-32528,17,0\n"
~"174,1055,353,1,-4480,-8176,-32528,81,0\n"
~"175,1057,355,1,-6672,-11456,-32528,177,0\n"
~"176,1059,357,1,-17696,-13680,-32528,241,0\n"
~"177,1061,359,1,-21136,-12512,-32528,49,0\n"
~"178,1063,361,1,-21760,-8944,-32528,113,0\n"
~"179,1065,363,1,-22000,-8400,-32528,177,0\n"
~"180,1067,365,1,-21968,-8112,-32528,241,0\n"
~"181,1069,367,1,-6064,-4320,-32528,113,0\n"
~"182,1071,369,1,-4816,-4528,-32528,145,0\n"
~"183,1073,371,1,-4640,-4496,-32528,241,0\n"
~"184,1075,373,1,-4624,-4400,-32528,49,0\n"
~"185,1077,375,1,-4544,-4240,-32528,113,0\n"
~"186,1079,377,1,-4672,-4448,-32528,209,0\n"
~"187,1081,379,1,-4752,-4432,-32528,17,0\n"
~"188,1083,381,1,-4656,-4464,-32528,81,0\n"
