=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"95,769,191,2,-11008,-6416,-32400,0x0,209,0\n"
~"96,771,193,2,-10896,-6512,-32400,0x0,17,0\n"
~"97,773,195,2,-10992,-6544,-32400,0x0,81,0\n"
~"98,775,197,2,-10832,-6528,-32400,0x0,177,0\n"
~"99,777,199,2,-10912,-6544,-32400,0x0,209,0\n"
~"100,779,201,2,-10688,-6560,-32400,0x0,17,0\n"
~"101,781,203,2,-10752,-6576,-32400,0x0,81,0\n"
~"102,783,205,2,-10944,-6416,-32400,0x0,145,0\n"
~"103,785,207,2,-10976,-6624,-32400,0x0,209,0\n"
~"104,787,209,2,-10960,-6400,-32400,0x0,17,0\n"
~"105,789,211,2,-10864,-6528,-32400,0x0,81,0\n"
~"106,791,213,2,-10992,-6544,-32400,0x0,145,0\n"
~"107,793,215,2,-10896,-6592,-32400,0x0,177,0\n"
~"108,795,217,2,-10912,-6528,-32400,0x0,241,0\n"
~"109,797,219,2,-10864,-6528,-32400,0x0,49,0\n"
~"110,799,221,2,-10736,-6496,-32400,0x0,113,0\n"
~"111,801,223,2,-10944,-6480,-32400,0x0,177,0\n"
~"112,803,225,2,-10608,-6400,-32400,0x0,241,0\n"
~"113,805,227,2,-10896,-6576,-32400,0x0,49,0\n"
~"114,807,229,2,-10880,-6544,-32400,0x0,113,0\n"
~"115,809,231,2,-10896,-6448,-32400,0x0,177,0\n"
~"116,811,233,2,-10864,-6448,-32400,0x0,241,0\n"
~"117,813,235,2,-11008,-6480,-32400,0x0,17,0\n"
~"118,815,237,2,-10848,-6592,-32400,0x0,81,0\n"
~"119,817,239,2,-10896,-6576,-32400,0x0,145,0\n"
~"120,819,241,2,-10928,-6496,-32400,0x0,209,0\n"
~"121,821,243,2,-10992,-6416,-32400,0x0,17,0\n"
~"122,823,245,2,-10960,-6384,-32400,0x0,49,0\n"
~"123,825,247,2,-10880,-6304,-32400,0x0,145,0\n"
~"124,827,249,2,-10864,-6592,-32400,0x0,177,0\n"
~"125,829,251,2,-10864,-6496,-32400,0x0,209,0\n"
~"126,831,253,2,-10896,-6448,-32400,0x0,17,0\n"
~"127,833,255,2,-10944,-6656,-32400,0x0,81,0\n"
~"128,835,257,2,-10768,-6528,-32400,0x0,145,0\n"
~"129,837,259,2,-10976,-6672,-32400,0x0,209,0\n"
~"130,839,261,2,-10768,-6688,-32400,0x0,241,0\n"
~"131,841,263,2,-10928,-6432,-32400,0x0,49,0\n"
~"132,843,265,2,-11056,-6496,-32400,0x0,113,0\n"
~"133,845,267,2,-10880,-6592,-32400,0x0,177,0\n"
~"134,847,269,2,-10864,-6368,-32400,0x0,241,0\n"
~"135,849,271,2,-10848,-6464,-32400,0x0,17,0\n"
~"136,851,273,2,-10848,-6544,-32400,0x0,81,0\n"
~"137,853,275,2,-10768,-6576,-32400,0x0,177,0\n"
~"138,855,277,2,-10960,-6432,-32400,0x0,241,0\n"
~"139,857,279,2,-10848,-6432,-32400,0x0,49,0\n"
~"140,859,281,2,-10784,-6640,-32400,0x0,113,0\n"
~"141,861,283,2,-10944,-6640,-32400,0x0,177,0\n"
~"142,863,285,2,-11008,-6544,-32400,0x0,209,0\n"
~"143,865,287,2,-10832,-6384,-32400,0x0,17,0\n"
~"144,867,289,2,-10976,-6560,-32400,0x0,81,0\n"
~"145,869,291,2,-10976,-6448,-32400,0x0,145,0\n"
~"146,871,293,2,-10976,-6352,-32400,0x0,209,0\n"
~"147,873,295,2,-10752,-6560,-32400,0x0,241,0\n"
~"148,875,297,2,-10816,-6464,-32400,0x0,81,0\n"
~"149,877,299,2,-10912,-6368,-32400,0x0,113,0\n"
~"150,879,301,2,-10976,-6592,-32400,0x0,177,0\n"
~"151,881,303,2,-10864,-6480,-32400,0x0,241,0\n"
~"152,883,305,2,-10992,-6368,-32400,0x0,17,0\n"
~"153,885,307,2,-10880,-6432,-32400,0x0,81,0\n"
~"154,887,309,2,-10912,-6400,-32400,0x0,145,0\n"
~"155,889,311,2,-10912,-6464,-32400,0x0,177,0\n"
~"156,891,313,2,-10976,-6576,-32400,0x0,241,0\n"
~"157,893,315,2,-10800,-6592,-32400,0x0,49,0\n"
~"158,895,317,2,-10960,-6624,-32400,0x0,113,0\n"
~"159,897,319,2,-10832,-6464,-32400,0x0,177,0\n"
~"160,899,321,2,-10832,-6656,-32400,0x0,209,0\n"
~"161,901,323,2,-10992,-6464,-32400,0x0,17,0\n"
~"162,903,325,2,-10896,-6400,-32400,0x0,81,0\n"
~"163,905,327,2,-10880,-6624,-32400,0x0,177,0\n"
~"164,907,329,2,-10880,-6496,-32400,0x0,241,0\n"
~"165,909,331,2,-10944,-6672,-32400,0x0,49,0\n"
~"166,911,333,2,-10928,-6480,-32400,0x0,81,0\n"
~"167,913,335,2,-10816,-6512,-32400,0x0,145,0\n"
~"168,915,337,2,-10816,-6576,-32400,0x0,209,0\n"
~"169,917,339,2,-10960,-6464,-32400,0x0,241,0\n"
~"170,919,341,2,-10928,-6640,-32400,0x0,49,0\n"
~"171,921,343,2,-10992,-6464,-32400,0x0,113,0\n"
~"172,923,345,2,-11040,-6528,-32400,0x0,145,0\n"
~"173,925,347,2,-10832,-6336,-32400,0x0,241,0\n"
~"174,927,349,2,-11024,-6448,-32400,0x0,17,0\n"
~"175,929,351,2,-10944,-6608,-32400,0x0,81,0\n"
~"176,931,353,2,-10864,-6512,-32400,0x0,145,0\n"
~"177,933,355,2,-10880,-6512,-32400,0x0,177,0\n"
~"178,935,357,2,-10944,-6672,-32400,0x0,241,0\n"
~"179,937,359,2,-10880,-6480,-32400,0x0,49,0\n"
~"180,939,361,2,-11008,-6704,-32400,0x0,81,0\n"
~"181,941,363,2,-10960,-6576,-32400,0x0,145,0\n"
~"182,943,365,2,-10992,-6560,-32400,0x0,209,0\n"
~"183,945,367,2,-10880,-6480,-32400,0x0,241,0\n"
~"184,947,369,2,-10832,-6592,-32400,0x0,49,0\n"
~"185,949,371,2,-10944,-6592,-32400,0x0,113,0\n"
~"186,951,373,2,-10928,-6512,-32400,0x0,145,0\n"
~"187,953,375,2,-10848,-6528,-32400,0x0,209,0\n"
~"188,955,377,2,-11040,-6528,-32400,0x0,241,0\n"
~"189,957,379,2,-11024,-6384,-32400,0x0,17,0\n"
~"190,959,381,2,-10768,-6464,-32400,0x0,81,0\n"
~"191,961,383,2,-10896,-6656,-32400,0x0,145,0\n"
~"192,963,385,2,-10752,-6528,-32400,0x0,177,0\n"
~"193,965,387,2,-10928,-6384,-32400,0x0,241,0\n"
~"194,967,389,2,-10800,-6368,-32400,0x0,49,0\n"
~"195,969,391,2,-10928,-6624,-32400,0x0,113,0\n"
~"196,971,393,2,-10800,-6496,-32400,0x0,177,0\n"
~"197,973,395,2,-10896,-6480,-32400,0x0,241,0\n"
~"198,975,397,2,-10800,-6560,-32400,0x0,81,0\n"
~"199,977,399,2,-10896,-6560,-32400,0x0,81,0\n"
~"200,979,401,2,-10912,-6480,-32400,0x0,113,0\n"
~"201,981,403,2,-10992,-6496,-32400,0x0,177,0\n"
~"202,983,405,2,-11040,-6528,-32400,0x0,241,0\n"
~"203,985,407,2,-10928,-6512,-32400,0x0,17,0\n"
~"204,987,409,2,-10800,-6672,-32400,0x0,81,0\n"
~"205,989,411,2,-11040,-6544,-32400,0x0,145,0\n"
~"206,991,413,2,-10832,-6544,-32400,0x0,177,0\n"
~"207,993,415,2,-8208,-21776,-32400,0x0,241,0\n"
~"208,995,417,2,-6720,-32304,-32400,0x0,17,0\n"
~"209,997,419,2,-6688,-32336,-32400,0x0,81,0\n"
~"210,999,421,2,-6768,-32336,-32400,0x0,145,0\n"
~"211,1001,423,2,-6784,-32336,-32400,0x0,177,0\n"
~"212,1003,425,2,-6768,-32336,-32400,0x0,241,0\n"
~"213,1005,427,2,-6656,-32336,-32400,0x0,17,0\n"
~"214,1007,429,2,-7520,-30768,-32400,0x0,81,0\n"
~"215,1009,431,2,-9072,-17808,-32400,0x0,145,0\n"
~"216,1011,433,2,-8000,3136,-32400,0x0,209,0\n"
~"217,1013,435,2,-7584,13216,-32400,0x0,17,0\n"
~"218,1015,437,2,-8912,13296,-32400,0x0,81,0\n"
~"219,1017,439,2,-8944,13312,-32400,0x0,113,0\n"
~"220,1019,441,2,-9008,13152,-32400,0x0,177,0\n"
~"221,1021,443,2,-9040,13184,-32400,0x0,241,0\n"
~"222,1023,445,2,-9152,13216,-32400,0x0,17,0\n"
~"223,1025,447,2,-9136,13104,-32400,0x0,113,0\n"
~"224,1027,449,2,-9216,13232,-32400,0x0,145,0\n"
~"225,1029,451,2,-6304,7168,-32400,0x0,177,0\n"
~"226,1031,453,2,720,-7136,-32400,0x0,241,0\n"
~"227,1033,455,2,5632,-24160,-32400,0x0,49,0\n"
~"228,1035,457,2,4672,-25632,-32400,0x0,113,0\n"
~"229,1037,459,2,3008,-27392,-32400,0x0,177,0\n"
~"230,1039,461,2,1680,-28384,-32400,0x0,241,0\n"
