=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"98,766,198,4,-9504,2288,-32592,0x3,145,0\n"
~"99,768,200,4,-8608,4064,-32592,0x3,209,0\n"
~"100,770,202,4,-6848,6016,-32592,0x3,17,0\n"
~"101,772,204,4,-4096,8144,-32560,0x3,49,0\n"
~"102,774,206,4,-784,9408,-32592,0x3,113,0\n"
~"103,776,208,4,1392,9520,-32592,0x3,209,0\n"
~"104,778,210,4,3424,9456,-32592,0x3,209,0\n"
~"105,780,212,4,4176,9328,-32592,0x3,17,0\n"
~"106,782,214,4,4816,9216,-32592,0x3,81,0\n"
~"107,785,217,4,5792,8992,-32592,0x3,209,0\n"
~"108,787,219,4,6512,8736,-32560,0x3,17,0\n"
~"109,789,221,4,7712,8128,-32592,0x3,81,0\n"
~"110,791,223,4,9968,6656,-32592,0x3,113,0\n"
~"111,793,225,4,12288,3760,-32592,0x3,177,0\n"
~"112,795,227,4,13520,-1920,-32592,0x3,241,0\n"
~"113,797,229,4,12928,-5344,-32592,0x3,17,0\n"
~"114,799,231,4,12416,-6592,-32592,0x3,81,0\n"
~"115,801,233,4,12160,-7216,-32592,0x3,177,0\n"
~"116,803,235,4,12048,-7408,-32592,0x3,209,0\n"
~"117,805,237,4,11952,-7616,-32592,0x3,17,0\n"
~"118,807,239,4,11776,-7840,-32592,0x3,49,0\n"
~"119,809,241,4,10112,-9840,-32592,0x3,241,0\n"
~"120,811,243,4,8176,-11584,-32592,0x3,145,0\n"
~"121,813,245,4,6368,-12608,-32592,0x3,209,0\n"
~"122,815,247,4,4016,-13408,-32592,0x3,17,0\n"
~"123,817,249,4,2592,-13648,-32592,0x3,49,0\n"
~"124,819,251,4,1184,-13840,-32560,0x3,113,0\n"
~"125,821,253,4,-1328,-13712,-32592,0x3,177,0\n"
~"126,823,255,4,-3504,-13136,-32592,0x3,241,0\n"
~"127,825,257,4,-6240,-11776,-32592,0x3,49,0\n"
~"128,827,259,4,-8144,-9776,-32592,0x3,81,0\n"
~"129,829,261,4,-9872,-6768,-32592,0x3,145,0\n"
~"130,831,263,4,-10640,-3904,-32592,0x3,209,0\n"
~"131,833,265,4,-10592,-896,-32592,0x3,241,0\n"
~"132,835,267,4,-10272,496,-32592,0x3,49,0\n"
~"133,837,269,4,-10352,688,-32560,0x3,81,0\n"
~"134,839,271,4,-9984,1744,-32592,0x3,145,0\n"
~"135,841,273,4,-9248,3088,-32592,0x3,209,0\n"
~"136,843,275,4,-8720,3808,-32592,0x3,241,0\n"
~"137,845,277,4,-8000,4720,-32592,0x3,49,0\n"
~"138,847,279,4,-6880,5776,-32592,0x3,113,0\n"
~"139,849,281,4,-5296,7088,-32592,0x3,177,0\n"
~"140,851,283,4,-3488,8192,-32560,0x3,17,0\n"
~"141,853,285,4,-1952,8672,-32592,0x3,17,0\n"
~"142,855,287,4,-656,9120,-32592,0x3,81,0\n"
~"143,857,289,4,912,9248,-32560,0x3,145,0\n"
~"144,859,291,4,2896,9264,-32592,0x3,81,0\n"
~"145,861,293,4,4560,9232,-32592,0x3,17,0\n"
~"146,863,295,4,6416,8800,-32592,0x3,49,0\n"
~"147,865,297,4,7744,8336,-32560,0x3,113,0\n"
~"148,867,299,4,8544,7744,-32592,0x3,177,0\n"
~"149,869,301,4,11360,5696,-32560,0x3,241,0\n"
~"150,871,303,4,12272,4144,-32592,0x3,49,0\n"
~"151,873,305,4,12928,2464,-32592,0x3,81,0\n"
~"152,875,307,4,13280,1072,-32592,0x3,145,0\n"
~"153,877,309,4,13264,-2256,-32592,0x3,177,0\n"
~"154,879,311,4,12752,-4912,-32592,0x3,241,0\n"
~"155,881,313,4,11888,-7456,-32592,0x3,49,0\n"
~"156,883,315,4,11616,-7936,-32592,0x3,81,0\n"
~"157,886,318,4,10304,-9664,-32592,0x3,209,0\n"
~"158,888,320,4,9216,-10656,-32592,0x3,17,0\n"
~"159,890,322,4,7632,-11888,-32592,0x3,49,0\n"
~"160,892,324,4,4368,-13280,-32592,0x3,113,0\n"
~"161,894,326,4,1888,-13856,-32592,0x3,177,0\n"
~"162,896,328,4,192,-13728,-32560,0x3,209,0\n"
~"163,898,330,4,-3664,-13216,-32592,0x3,17,0\n"
~"164,900,332,4,-7248,-11328,-32592,0x3,81,0\n"
~"165,902,334,4,-9296,-8752,-32560,0x3,113,0\n"
~"166,904,336,4,-10320,-6048,-32592,0x3,177,0\n"
