=cmd-param-changed,param="logging enabled",value="on"
~"index,tick,delta_tick,mode,x,y,z,sensor_config2,conv_status,read_status\n"
~"97,599,197,3,-20832,4400,-32592,0x1,209,0\n"
~"98,601,199,3,-18976,8400,-32560,0x1,49,0\n"
~"99,603,201,3,-16368,11696,-32560,0x1,81,0\n"
~"100,605,203,3,-12816,14880,-32560,0x1,145,0\n"
~"101,607,205,3,-11584,16032,-32592,0x1,209,0\n"
~"102,609,207,3,-9856,16848,-32560,0x1,17,0\n"
~"103,611,209,3,-8640,17456,-32592,0x1,81,0\n"
~"104,613,211,3,-6208,18736,-32592,0x1,145,0\n"
~"105,615,213,3,-3072,19648,-32560,0x1,209,0\n"
~"106,617,215,3,-1600,19952,-32560,0x1,17,0\n"
~"107,619,217,3,1360,20192,-32592,0x1,81,0\n"
~"108,621,219,3,11312,19120,-32560,0x1,145,0\n"
~"109,623,221,3,18624,15936,-32560,0x1,209,0\n"
~"110,625,223,3,21664,13488,-32560,0x1,17,0\n"
~"111,627,225,3,24208,10560,-32560,0x1,81,0\n"
~"112,629,227,3,25600,8208,-32560,0x1,177,0\n"
~"113,631,229,3,26272,6848,-32592,0x1,241,0\n"
~"114,633,231,3,26960,4400,-32592,0x1,81,0\n"
~"115,635,233,3,27248,2976,-32592,0x1,177,0\n"
~"116,637,235,3,27472,880,-32592,0x1,17,0\n"
~"117,640,238,3,27488,-1488,-32560,0x1,209,0\n"
~"118,642,240,3,27184,-5344,-32560,0x1,209,0\n"
~"119,644,242,3,26736,-7664,-32560,0x1,49,0\n"
~"120,646,244,3,25888,-11152,-32592,0x1,145,0\n"
~"121,648,246,3,24656,-13888,-32560,0x1,241,0\n"
~"122,650,248,3,23888,-15744,-32560,0x1,81,0\n"
~"123,652,250,3,21488,-19104,-32560,0x1,177,0\n"
~"124,654,252,3,19424,-21232,-32592,0x1,17,0\n"
~"125,656,254,3,17360,-23136,-32592,0x1,81,0\n"
~"126,658,256,3,17200,-23280,-32592,0x1,177,0\n"
~"127,660,258,3,16400,-23856,-32592,0x1,17,0\n"
~"128,662,260,3,15824,-24384,-32592,0x1,113,0\n"
~"129,664,262,3,12208,-26128,-32560,0x1,209,0\n"
~"130,666,264,3,7824,-28384,-32592,0x1,49,0\n"
~"131,668,266,3,3296,-29616,-32592,0x1,145,0\n"
~"132,670,268,3,768,-29952,-32560,0x1,241,0\n"
~"133,672,270,3,-2096,-29888,-32592,0x1,81,0\n"
~"134,674,272,3,-6384,-28688,-32592,0x1,177,0\n"
~"135,676,274,3,-13008,-25440,-32560,0x1,49,0\n"
~"136,678,276,3,-18912,-19040,-32592,0x1,113,0\n"
~"137,680,278,3,-21392,-13312,-32560,0x1,209,0\n"
~"138,682,280,3,-22480,-7936,-32560,0x1,17,0\n"
~"139,684,282,3,-22960,-2752,-32560,0x1,81,0\n"
~"140,686,284,3,-22032,960,-32560,0x1,145,0\n"
~"141,688,286,3,-21024,4192,-32592,0x1,209,0\n"
~"142,690,288,3,-19888,6752,-32592,0x1,81,0\n"
~"143,692,290,3,-18032,9728,-32592,0x1,81,0\n"
~"144,694,292,3,-15120,12800,-32560,0x1,145,0\n"
~"145,696,294,3,-13712,14240,-32560,0x1,209,0\n"
~"146,698,296,3,-12432,15072,-32592,0x1,17,0\n"
~"147,700,298,3,-9888,16672,-32560,0x1,81,0\n"
~"148,702,300,3,-6944,18144,-32592,0x1,145,0\n"
~"149,704,302,3,-1632,19760,-32592,0x1,241,0\n"
~"150,706,304,3,2272,20000,-32592,0x1,49,0\n"
~"151,708,306,3,14608,17952,-32592,0x1,113,0\n"
~"152,710,308,3,18160,16208,-32560,0x1,177,0\n"
~"153,712,310,3,20848,14288,-32560,0x1,241,0\n"
~"154,714,312,3,21744,13360,-32560,0x1,49,0\n"
~"155,716,314,3,23136,12000,-32592,0x1,113,0\n"
~"156,718,316,3,24896,10064,-32592,0x1,177,0\n"
~"157,720,318,3,25952,7616,-32592,0x1,241,0\n"
~"158,722,320,3,27136,4192,-32592,0x1,49,0\n"
~"159,724,322,3,27360,-16,-32592,0x1,113,0\n"
~"160,726,324,3,27232,-2784,-32592,0x1,209,0\n"
~"161,728,326,3,26912,-5392,-32592,0x1,241,0\n"
~"162,730,328,3,26720,-6992,-32592,0x1,49,0\n"
~"163,732,330,3,26256,-9008,-32560,0x1,113,0\n"
~"164,734,332,3,25136,-13056,-32560,0x1,177,0\n"
~"165,736,334,3,24048,-15248,-32592,0x1,241,0\n"
~"166,738,336,3,23296,-16688,-32592,0x1,49,0\n"
~"167,741,339,3,22592,-18016,-32592,0x1,241,0\n"
