Timestamp(ms),Current(uA)
4100,4750.729
4110,4787.561
4120,4776.158
4130,4751.047
4140,4757.934
4150,4773.792
4160,4749.214
4170,4781.031
4180,4773.218
4190,4819.662
4200,4770.253
4210,4793.138
4220,4787.806
4230,4732.058
4240,4771.146
4250,4739.187
4260,4762.998
4270,4753.864
4280,4823.688
4290,4741.868
4300,4794.971
4310,4736.650
4320,4807.717
4330,4803.196
4340,4862.807
4350,4818.156
4360,4790.990
4370,4767.829
4380,4745.318
4390,4780.448
4400,4740.379
4410,4824.929
4420,4759.478
4430,4792.839
4440,4720.066
4450,4788.539
4460,4774.577
4470,4799.247
4480,4771.631
4490,4782.596
4500,4765.226
4510,4822.942
4520,4755.782
4530,4753.611
4540,4769.207
4550,4762.337
4560,4811.465
4570,4741.244
4580,4786.730
4590,4829.441
4600,4786.844
4610,4738.269
4620,4746.314
4630,4762.694
4640,4784.620
4650,4748.672
4660,4803.607
4670,4729.510
4680,4819.652
4690,4738.505
4700,4841.454
4710,4796.202
4720,4823.386
4730,4792.017
4740,4807.887
4750,4759.292
4760,4800.018
4770,4736.751
4780,4779.944
4790,4781.067
4800,4759.275
4810,4804.049
4820,4728.597
4830,4786.036
4840,4771.057
4850,4832.676
4860,4732.620
4870,4782.946
4880,4785.529
4890,4804.882
4900,4737.885
4910,4821.154
4920,4766.449
4930,4807.735
4940,4756.768
4950,4778.303
4960,4747.532
4970,4729.395
4980,4765.578
4990,4701.528
5000,4722.314
5010,4723.044
5020,4748.631
5030,4769.530
5040,4806.813
5050,4759.443
5060,4778.015
5070,4766.115
5080,4783.298
5090,4790.233
5100,4809.253
5110,4761.671
5120,4825.013
5130,4776.914
5140,4742.274
5150,4771.108
5160,4798.686
5170,4767.431
5180,4790.966
5190,4781.999
5200,4733.872
5210,4796.885
5220,4760.323
5230,4774.977
5240,4721.358
5250,4782.459
5260,4776.324
5270,4804.250
5280,4768.629
5290,4796.455
5300,4794.108
5310,4801.857
5320,4771.554
5330,4810.115
5340,4778.683
5350,4765.664
5360,4751.578
5370,4783.514
5380,4785.819
5390,4737.134
5400,4779.139
5410,4758.829
5420,4781.988
5430,4754.510
5440,4790.440
5450,4742.603
5460,4806.170
5470,4760.636
5480,4794.450
5490,4769.134
5500,4780.458
5510,4739.624
5520,4737.890
5530,4747.235
5540,4735.153
5550,4758.434
5560,4742.438
5570,4790.113
5580,4784.592
5590,4842.679
5600,4784.073
5610,4828.941
5620,4802.784
5630,4740.309
5640,4752.343
5650,4745.433
5660,4794.249
5670,4755.839
5680,4789.022
5690,4770.188
5700,4766.594
5710,4768.991
5720,4839.182
5730,4769.977
5740,4769.388
5750,4777.007
5760,4718.422
5770,4753.935
5780,4799.662
5790,4779.822
5800,4736.483
5810,4786.077
5820,4786.553
5830,4835.119
5840,4761.958
5850,4814.356
5860,4766.083
5870,4805.204
5880,4741.998
5890,4722.817
5900,4772.654
5910,4789.681
5920,4783.079
5930,4770.595
5940,4815.883
5950,4791.062
5960,4798.240
5970,4740.139
5980,4796.177
5990,4783.141
6000,4827.906
6010,4747.143
6020,4833.051
6030,4778.790
6040,4794.788
6050,4760.582
6060,4777.452
6070,4799.484
6080,4792.320
6090,4768.891
6100,4748.083
6110,4794.035
6120,4737.959
6130,4790.563
6140,4741.723
6150,4799.973
6160,4775.271
6170,4838.994
6180,4770.745
6190,4794.912
6200,4797.992
6210,4770.641
6220,4787.713
6230,4736.412
6240,4776.427
6250,4784.708
6260,4845.968
6270,4821.653
6280,4807.272
6290,4763.785
6300,4789.526
6310,4756.849
6320,4795.464
6330,4760.405
6340,4828.837
6350,4780.351
6360,4818.420
6370,4764.754
6380,4805.179
6390,4772.160
6400,4719.051
6410,4777.470
6420,4775.303
6430,4812.424
6440,4764.072
6450,4814.618
6460,4768.490
6470,4837.413
6480,4776.202
6490,4830.780
6500,4785.235
6510,4742.348
6520,4806.589
6530,4757.963
6540,4771.973
6550,4726.480
6560,4774.414
6570,4762.967
6580,4775.363
6590,4767.618
6600,4798.401
6610,4760.261
6620,4794.872
6630,4732.844
6640,4809.384
6650,4780.956
6660,4835.984
6670,4800.123
6680,4821.037
6690,4787.583
6700,4798.104
6710,4789.043
6720,4736.836
6730,4792.972
6740,4759.614
6750,4803.738
6760,4803.712
6770,4791.353
6780,4747.750
6790,4797.838
6800,4772.769
6810,4836.747
6820,4803.336
6830,4771.539
6840,4769.695
6850,4776.552
6860,4758.776
6870,4722.405
6880,4792.342
6890,4754.369
6900,4804.157
6910,4737.398
6920,4754.497
6930,4735.329
6940,4783.608
6950,4761.813
6960,4821.481
6970,4771.933
6980,4828.446
6990,4766.291
7000,4818.880
7010,4765.755
7020,4787.194
7030,4761.668
7040,4752.042
7050,4745.251
7060,4782.487
7070,4819.156
7080,4752.112
7090,4790.259
7100,4768.541
7110,4824.752
7120,4759.666
7130,4809.217
7140,4752.068
7150,4813.632
7160,4729.237
7170,4834.232
7180,4783.062
7190,4827.210
7200,4796.070
7210,4752.124
7220,4771.011
7230,4743.827
7240,4780.066
7250,4758.053
7260,4782.667
7270,4754.131
7280,4763.995
7290,4778.277
7300,4797.745
7310,4772.565
7320,4800.568
7330,4766.569
7340,4792.438
7350,4770.527
7360,4780.456
7370,4782.737
7380,4823.588
7390,4792.185
7400,4809.915
7410,4761.657
7420,4800.207
7430,4776.027
7440,4789.592
7450,4815.891
7460,4744.083
7470,4790.900
7480,4759.136
7490,4774.436
7500,4791.172
7510,4804.298
7520,4769.967
7530,4809.801
7540,4782.630
7550,4792.077
7560,4793.717
7570,4775.304
7580,4734.991
7590,4795.935
7600,4740.896
7610,4728.552
7620,4780.061
7630,4735.541
7640,4792.202
7650,4745.112
7660,4782.781
7670,4781.160
7680,4809.026
7690,4770.241
7700,4815.489
7710,4738.426
7720,4767.302
7730,4744.399
7740,4803.760
7750,4772.156
7760,4818.573
7770,4785.164
7780,4763.386
7790,4805.278
7800,4782.394
7810,4783.778
7820,4805.947
7830,4757.024
7840,4752.946
7850,4792.540
7860,4744.324
7870,4853.478
7880,4823.052
7890,4889.370
7900,4785.679
7910,4735.344
7920,4776.383
7930,4750.433
7940,4771.968
7950,4752.362
7960,4767.570
7970,4813.881
7980,4837.403
7990,4785.917
8000,4823.313
8010,4771.535
8020,4817.028
8030,4796.042
8040,4796.725
8050,4779.170
8060,4781.829
8070,4778.698
8080,4763.536
8090,4804.988
8100,4758.456
8110,4795.918
8120,4779.625
8130,4775.196
8140,4777.737
8150,4847.921
8160,4787.354
8170,4850.901
8180,4775.635
8190,4799.142
8200,4756.481
8210,4768.882
8220,4755.617
8230,4705.084
8240,4896.211
8250,4794.347
8260,4805.623
8270,4775.230
8280,4791.346
8290,4763.472
8300,4816.085
8310,4767.072
8320,4844.134
8330,4768.131
8340,4797.202
8350,4776.057
8360,4775.303
8370,4835.118
8380,4798.788
8390,4825.520
8400,4775.797
8410,4774.795
8420,4735.825
8430,4821.468
8440,4788.714
8450,4818.441
8460,4806.376
8470,4848.340
8480,4784.749
8490,4848.840
8500,4776.954
8510,4774.932
8520,4804.456
8530,4767.301
8540,4803.639
8550,4875.116
8560,4804.329
8570,4788.667
8580,4809.029
8590,4767.479
8600,4817.506
8610,4802.634
8620,4809.743
8630,4765.898
8640,4800.700
8650,4785.932
8660,4823.302
8670,4783.796
8680,4820.350
8690,4807.091
8700,4798.320
8710,4830.648
8720,4758.697
8730,4786.102
8740,4762.781
8750,4818.294
8760,4725.146
8770,4782.353
8780,4743.217
8790,4781.689
8800,4752.018
8810,4811.744
8820,4791.636
8830,4785.772
8840,4761.222
8850,4802.391
8860,4808.841
8870,4814.626
8880,4787.829
8890,4753.788
8900,4763.121
8910,4724.676
8920,4798.723
8930,4771.636
8940,4818.050
8950,4776.112
8960,4808.056
8970,4812.786
8980,4819.762
8990,4757.884
9000,4793.906
9010,4739.332
9020,4799.386
9030,4841.976
9040,4836.904
9050,4796.578
9060,4821.595
9070,4801.775
9080,4766.820
9090,4776.645
9100,4731.655
9110,4790.515
9120,4754.163
9130,4771.616
9140,4755.353
9150,4774.521
9160,4755.377
9170,4804.722
9180,4803.737
9190,4831.052
9200,4802.349
9210,4830.765
9220,4780.377
9230,4818.247
9240,4796.922
9250,4828.097
9260,4823.639
