Timestamp(ms),Current(uA)
0,3313.822
10,4470.641
20,4985.553
30,5707.689
40,4360.205
50,2713.948
60,2105.852
70,1891.179
80,1810.443
90,1775.469
100,1767.060
110,1766.034
120,1765.667
130,1824.275
140,1807.611
150,1784.621
160,1772.126
170,1770.912
180,1769.696
190,1773.178
200,1784.423
210,1775.223
220,1774.393
230,1816.967
240,1790.531
250,1783.551
260,1791.618
270,1784.488
280,1784.281
290,1785.948
300,1788.375
310,1792.451
320,1859.807
330,1817.005
340,1836.279
350,1813.857
360,1804.763
370,1801.626
380,1810.873
390,1802.951
400,1796.494
410,1843.420
420,1822.000
430,1803.354
440,1799.366
450,1796.123
460,1790.337
470,1790.618
480,1788.135
490,1786.416
500,1845.504
510,1829.256
520,1802.957
530,1793.360
540,1790.235
550,1790.923
560,1791.880
570,1843.121
580,1811.403
590,1800.678
600,1798.820
610,1797.719
620,1795.782
630,1813.213
640,1809.059
650,1809.720
660,1809.492
670,1806.944
680,1803.808
690,1814.239
700,1846.935
710,1816.518
720,1805.329
730,1802.329
740,1801.777
750,1815.128
760,1810.141
770,1804.711
780,1802.111
790,1840.185
800,1816.410
810,1814.539
820,1814.286
830,1810.830
840,1809.845
850,1815.328
860,1818.871
870,1872.193
880,1876.802
890,1847.465
900,1835.541
910,1833.678
920,1833.130
930,1832.264
940,1899.632
950,1858.635
960,1846.522
970,1840.526
980,1839.905
990,1836.672
1000,1849.466
1010,1844.487
1020,1841.909
1030,1839.229
1040,3026.082
1050,4877.818
1060,5120.192
1070,5140.958
1080,5144.409
1090,5196.561
1100,5209.746
1110,5239.878
1120,5452.408
1130,5529.708
1140,5213.531
1150,5130.737
1160,5039.872
1170,5037.568
1180,5043.071
1190,4973.790
1200,4991.554
1210,5059.958
1220,5031.394
1230,5012.891
1240,4002.048
1250,2572.037
1260,2045.870
1270,1860.829
1280,1786.574
1290,1754.311
1300,1744.658
1310,1803.820
1320,1769.288
1330,1751.334
1340,1749.059
1350,1775.068
1360,1750.485
1370,1741.290
1380,1739.601
1390,1741.012
1400,1784.182
1410,1755.731
1420,1745.151
1430,1741.538
1440,1740.090
1450,1737.501
1460,1749.244
1470,1745.642
1480,1742.918
1490,1739.765
1500,1810.533
1510,1767.295
1520,1761.524
1530,1747.044
1540,1739.893
1550,1739.037
1560,1737.636
1570,1736.643
1580,1753.645
1590,1747.598
1600,1800.532
1610,1764.429
1620,1749.162
1630,1743.599
1640,1750.086
1650,1748.588
1660,1743.831
1670,1744.122
1680,1742.230
1690,1740.281
1700,1781.568
1710,1763.990
1720,1748.473
1730,1740.595
1740,1737.926
1750,1740.334
1760,1740.548
1770,1748.907
1780,1742.710
1790,1796.378
1800,1770.515
1810,1750.903
1820,1743.894
1830,1752.489
1840,1745.319
1850,1741.047
1860,1739.423
1870,1741.593
1880,1740.524
1890,1799.783
1900,1761.409
1910,1746.689
1920,1742.181
1930,1740.350
1940,1739.410
1950,1754.940
1960,1746.929
1970,1741.547
1980,1739.923
1990,1794.687
2000,1760.464
2010,1754.405
2020,1749.961
2030,1746.247
2040,1744.000
2050,1741.080
2060,1740.111
2070,1737.163
2080,1749.956
2090,1789.154
2100,1759.442
2110,1748.673
2120,1744.590
2130,1740.779
2140,1786.793
2150,1757.710
2160,1748.856
2170,1742.904
2180,1740.430
2190,1739.384
2200,1753.524
2210,1744.753
2220,1743.196
2230,1742.045
2240,2570.282
2250,4516.303
2260,4849.132
2270,5405.246
2280,5646.669
2290,5595.563
2300,5312.095
2310,5231.557
2320,5200.628
2330,5110.988
2340,5083.228
2350,5077.224
2360,5000.316
2370,5032.228
2380,5054.360
2390,5006.536
2400,5012.131
2410,5056.378
2420,5010.915
2430,4395.548
2440,2762.090
2450,2117.001
2460,1879.244
2470,1792.289
2480,1759.355
2490,1745.987
2500,1751.615
2510,1744.829
2520,1745.046
2530,1742.375
2540,1741.495
2550,1741.397
2560,1789.240
2570,1756.197
2580,1746.053
2590,1743.408
2600,1743.270
2610,1742.654
2620,1754.558
2630,1747.027
2640,1746.196
2650,1744.575
2660,1777.856
2670,1754.044
2680,1761.581
2690,1748.691
2700,1742.900
2710,1742.023
2720,1744.191
2730,1742.641
2740,1818.632
